agel3: agropyron elongatum, tall wheatgrass
ageu: agrimonia eupatoria, churchsteeples
agex: agrostis exarata, spike bentgrass
agfi3: agrostis filicumis, idaho bentgrass
agfo: agastache foeniculum, blue giant hyssop
agfr: agropyron fragile, siberian wheatgrass
agge2: agrostis geminata, rough bentgrass
aggi: agrostemma githago, common corncockle
aggi2: agrostis gigantea, redtop
aggl: agoseris glauca, pale agoseris
aggr2: agrimonia gryposepala, tall hairy agrimony
aggr6: agropyron griffithii, montana wheatgrass
aggr7: agoseris graminifolia, orange agoseris
aghi2: +agroelymus hirtiflorus, canadian wildrye
aghu: agrostis humilis, alpine bentgrass
aghy: agrostis hyemalis, winter bentgrass
agid: agrostis idahoensis, idaho bentgrass
agin2: agropyron intermedium, intermediate wheatgrass
agin4: agrostis interrupta, dense silkybent
agin5: agropyron inerme, beardless wheatgrass
agla3: agropyron latiglume, alaskan wheatgrass
agla4: agropyron lanceolatum, streambank wheatgrass
agla5: agropyron laeve, slender wheatgrass
agla9: agoseris lackschewitzii, mill creek agoseris
aglo2: agrostis longiligula, spike bentgrass
agma10: agrostis maritima, creeping bentgrass
agma7: agaloma marginata, snow on the mountain
agma8: +agrohordeum macounii, macoun`s barley
agme: agrostis melaleuca, spike bentgrass
agme3: agrostis mertensii, northern bentgrass
agme4: agrostis mexicana, mexican muhly
agmi3: agrostis microphylla, small-leaf bentgrass
agmo4: agropyron molle, western wheatgrass
agni: agrostis nigra, redtop
agon: +agroelymus ontariensis, canadian wildrye
agor: agrostis oregonensis, oregon bentgrass
agpa14: agoseris parviflora, false agoseris
agpa15: agropyron pauciflorum, slender wheatgrass
agpa17: agrostis palustris, creeping bentgrass
agpa7: agropyron parishii, parish wheatgrass
agpe5: agropyron pectiniforme, crested wheatgrass
agpr2: agropyron prostratum, annual wheatgrass
agps: agropyron pseudorepens
agra: agrostis racemosa, marsh muhly
agre2: agropyron repens, quackgrass
agri3: agropyron riparum, streambank wheatgrass
agri5: agropyron riparium, streambank wheatgrass
agro2: agoseris rostrata, orange agoseris
agro4: agrostis rossiae, ross` bentgrass
agru2: agrostis rupestris, northern bentgrass
agsa2: agropyron saxicola, foxtail wheatgrass
agsa4: +agrositanion saundersii
agsa5: +agrositanion saxicola, foxtail wheatgrass
agsa6: agropyron saundersii
agsc4: agropyron scribneri, spreading wheatgrass
agsc5: agrostis scabra, rough bentgrass
agsc7: agoseris scorzonerifolia, pale agoseris
agse2: agrostis semiverticillata, beardless rabbitsfoot grass
agsi: agropyron sibiricum, siberian wheatgrass
agsm: agropyron smithii, western wheatgrass
agsp: agropyron spicatum, bluebunch wheatgrass
agst: agrimonia striata, roadside agrimony
agst2: agrostis stolonifera, creeping bentgrass
